Species	Ks
AP13K_AP13N	0.287521
AP13K_AP13N	0.265327
AP13K_AP13N	0.477927
AP13K_AP13N	0.478873
AP13K_AP13N	0.425743
AP13K_AP13N	0.204575
AP13K_AP13N	0.146045
AP13K_AP13N	0.228814
AP13K_AP13N	0.268692
AP13K_AP13N	0.0351494
AP13K_AP13N	0.163443
AP13K_AP13N	0.00142248
AP13K_AP13N	0.343891
AP13K_AP13N	0.654684
AP13K_AP13N	0.0574257
AP13K_AP13N	0.0631188
AP13K_AP13N	0.369021
AP13K_AP13N	0.259182
AP13K_AP13N	0.238786
AP13K_AP13N	0.633755
AP13K_AP13N	0.229555
AP13K_AP13N	0.13557
AP13K_AP13N	0.0452451
AP13K_AP13N	0.51634
AP13K_AP13N	0.584416
AP13K_AP13N	0.493637
AP13K_AP13N	0.21047
AP13K_AP13N	0.209769
AP13K_AP13N	0.105814
AP13K_AP13N	0.217969
AP13K_AP13N	0.515596
AP13K_AP13N	0.193684
AP13K_AP13N	0.203612
AP13K_AP13N	0.168539
AP13K_AP13N	0.120496
AP13K_AP13N	0.64497
AP13K_AP13N	0.314327
AP13K_AP13N	0.0115431
AP13K_AP13N	0.214146
AP13K_AP13N	0.0859917
AP13K_AP13N	0.149508
AP13K_AP13N	0.108513
AP13K_AP13N	0.617439
AP13K_AP13N	0.383268
AP13K_AP13N	0.30597
AP13K_AP13N	0.0340776
AP13K_AP13N	0.435858
AP13K_AP13N	0.465636
AP13K_AP13N	0.237052
AP13K_AP13N	0.404028
AP13K_AP13N	0.37218
AP13K_AP13N	0.160752
AP13K_AP13N	0.251158
AP13K_AP13N	0.194203
AP13K_AP13N	0.225319
AP13K_AP13N	0.110979
AP13K_AP13N	0.318182
AP13K_AP13N	0.0682081
AP13K_AP13N	0.305158
AP13K_AP13N	0.222628
AP13K_AP13N	0.127438
AP13K_AP13N	0.175516
AP13K_AP13N	0.587571
AP13K_AP13N	0.301265
AP13K_AP13N	0.215625
AP13K_AP13N	0.131898
AP13K_AP13N	0.183303
AP13K_AP13N	0.2
AP13K_AP13N	0.155348
AP13K_AP13N	0.64561
AP13K_AP13N	0.3047
AP13K_AP13N	0.0565693
AP13K_AP13N	0.0997799
AP13K_AP13N	0.345679
AP13K_AP13N	0.0636238
AP13K_AP13N	0.438992
AP13K_AP13N	0.188645
AP13K_AP13N	0.328508
AP13K_AP13N	0.0275735
AP13K_AP13N	0.181979
AP13K_AP13N	0.242029
AP13K_AP13N	0.0585899
AP13K_AP13N	0.309069
AP13K_AP13N	0.3205
AP13K_AP13N	0.318766
AP13K_AP13N	0.111647
AP13K_AP13N	0.326848
AP13K_AP13N	0.210191
AP13K_AP13N	0.371512
AP13K_AP13N	0.162029
AP13K_AP13N	0.221093
AP13K_AP13N	0.862624
AP13K_AP13N	0.0736196
AP13K_AP13N	0.234744
AP13K_AP13N	0.695721
AP13K_AP13N	0.0570486
AP13K_AP13N	0.154283
AP13K_AP13N	0.059448
AP13K_AP13N	0.0246238
AP13K_AP13N	0.412
AP13K_AP13N	0.0958254
AP13K_AP13N	0.352071
AP13K_AP13N	0.163452
AP13K_AP13N	0.120219
AP13K_AP13N	0.110629
AP13K_AP13N	0.123948
AP13K_AP13N	0.132852
AP13K_AP13N	0.181516
AP13K_AP13N	0.207155
AP13K_AP13N	0.280541
AP13K_AP13N	0.424963
AP13K_AP13N	0.116758
AP13K_AP13N	0.154394
AP13K_AP13N	0.343087
AP13K_AP13N	0.0375427
AP13K_AP13N	0.345489
AP13K_AP13N	0.23691
AP13K_AP13N	0.0587659
AP13K_AP13N	0.400703
AP13K_AP13N	0.0655367
AP13K_AP13N	0.509824
AP13K_AP13N	0.309481
AP13K_AP13N	0.0322034
AP13K_AP13N	0.120235
AP13K_AP13N	0.223796
AP13K_AP13N	0.27262
AP13K_AP13N	0.195652
AP13K_AP13N	0.217862
AP13K_AP13N	0.26773
AP13K_AP13N	0.272727
AP13K_AP13N	0.377919
AP13K_AP13N	0.114333
AP13K_AP13N	0.377823
AP13K_AP13N	0.126645
AP13K_AP13N	0.411943
AP13K_AP13N	0.450413
AP13K_AP13N	0.0243289
AP13K_AP13N	0.819005
AP13K_AP13N	0.152132
AP13K_AP13N	0.172807
AP13K_AP13N	0.208831
AP13K_AP13N	0.290614
AP13K_AP13N	0.105996
AP13K_AP13N	0.176539
AP13K_AP13N	0.0663616
AP13K_AP13N	0.416021
AP13K_AP13N	0.173167
AP13K_AP13N	0.215543
AP13K_AP13N	0.75122
AP13K_AP13N	0.600375
AP13K_AP13N	0.315653
AP13K_AP13N	0.156671
AP13K_AP13N	0.140118
AP13K_AP13N	0.505124
AP13K_AP13N	0.113466
AP13K_AP13N	0.316092
AP13K_AP13N	0.440133
AP13K_AP13N	0.335586
AP13K_AP13N	0.152941
AP13K_AP13N	0.506256
AP13K_AP13N	0.115169
AP13K_AP13N	0.286061
AP13K_AP13N	0.563877
AP13K_AP13N	0.329664
AP13K_AP13N	0.172638
AP13K_AP13N	0.544034
AP13K_AP13N	0.0160099
AP13K_AP13N	0.267252
AP13K_AP13N	0.389879
AP13K_AP13N	0.30625
AP13K_AP13N	0.754177
AP13K_AP13N	0.15562
AP13K_AP13N	0.115034
AP13K_AP13N	0.199081
AP13K_AP13N	0.126536
AP13K_AP13N	0.635352
AP13K_AP13N	0.2
AP13K_AP13N	0.341308
AP13K_AP13N	0.14372
AP13K_AP13N	0.541549
AP13K_AP13N	0.384853
AP13K_AP13N	0.424176
AP13K_AP13N	0.180064
AP13K_AP13N	0.359217
AP13K_AP13N	0.171271
AP13K_AP13N	0.205446
AP13K_AP13N	0.0842845
AP13K_AP13N	0.126662
AP13K_AP13N	0.340136
AP13K_AP13N	0.299944
AP13K_AP13N	0.306233
AP13K_AP13N	0.481061
AP13K_AP13N	0.463047
AP13K_AP13N	0.00108696
AP13K_AP13N	0.182984
AP13K_AP13N	0.139303
AP13K_AP13N	0.342857
AP13K_AP13N	0.227758
AP13K_AP13N	0.329312
AP13K_AP13N	0.787425
AP13K_AP13N	0.32494
AP13K_AP13N	0.33121
AP13K_AP13N	0.27085
AP13K_AP13N	0.24328
AP13K_AP13N	0.304784
AP13K_AP13N	0.23057
AP13K_AP13N	0.121729
AP13K_AP13N	0.413361
AP13K_AP13N	0.229953
AP13K_AP13N	0.0472879
AP13K_AP13N	0.259419
AP13K_AP13N	0.327411
AP13K_AP13N	0.0227027
AP13K_AP13N	0.0517241
AP13K_AP13N	0.893709
AP13K_AP13N	0.156863
AP13K_AP13N	0.272059
AP13K_AP13N	0.176744
AP13K_AP13N	0.0591133
AP13K_AP13N	0.349085
AP13K_AP13N	0.440087
AP13K_AP13N	0.100791
AP13K_AP13N	0.28655
AP13K_AP13N	0.156201
AP13K_AP13N	0.413693
AP13K_AP13N	0.089608
AP13K_AP13N	0.348259
AP13K_AP13N	0.159722
AP13K_AP13N	0.182885
AP13K_AP13N	0.499264
AP13K_AP13N	0.176393
AP13K_AP13N	0.112644
AP13K_AP13N	0.0443213
AP13K_AP13N	0.269585
AP13K_AP13N	0.105435
AP13K_AP13N	0.119355
AP13K_AP13N	0.107458
AP13K_AP13N	0.117571
AP13K_AP13N	0.197575
AP13K_AP13N	0.294626
AP13K_AP13N	0.159329
AP13K_AP13N	0.291262
AP13K_AP13N	0.184977
AP13K_AP13N	0.177989
AP13K_AP13N	0.166667
AP13K_AP13N	0.0641875
AP13K_AP13N	0.419672
AP13K_AP13N	1.90297
AP13K_AP13N	0.223822
AP13K_AP13N	0.18662
AP13K_AP13N	0.18541
AP13K_AP13N	0.155609
AP13K_AP13N	0.0753498
AP13K_AP13N	0.113976
AP13K_AP13N	0.253493
AP13K_AP13N	0.420183
AP13K_AP13N	0.371706
AP13K_AP13N	0.411469
AP13K_AP13N	0.211927
AP13K_AP13N	0.224609
AP13K_AP13N	0.0285714
AP13K_AP13N	0.168085
AP13K_AP13N	0.358065
AP13K_AP13N	0.173052
AP13K_AP13N	0.27626
AP13K_AP13N	0.199191
AP13K_AP13N	0.26634
AP13K_AP13N	0.330681
AP13K_AP13N	0.220479
AP13K_AP13N	0.138681
AP13K_AP13N	0.089527
AP13K_AP13N	0.453583
AP13K_AP13N	0.36565
AP13K_AP13N	0.275651
AP13K_AP13N	0.0478564
AP13K_AP13N	0.242023
AP13K_AP13N	0.161476
AP13K_AP13N	0.150411
AP13K_AP13N	0.161497
AP13K_AP13N	0.246479
AP13K_AP13N	0.242389
AP13K_AP13N	0.178571
AP13K_AP13N	0.16035
AP13K_AP13N	0.206897
AP13K_AP13N	0.469708
AP13K_AP13N	0.300978
AP13K_AP13N	0.233392
AP13K_AP13N	0.187611
AP13K_AP13N	0.0497592
AP13K_AP13N	0.333948
AP13K_AP13N	0.276673
AP13K_AP13N	0.0878447
AP13K_AP13N	0.402098
AP13K_AP13N	0.0490937
AP13K_AP13N	0.136743
AP13K_AP13N	0.20937
AP13K_AP13N	0.122407
AP13K_AP13N	0.987261
AP13K_AP13N	0.464978
AP13K_AP13N	0.274882
AP13K_AP13N	0.169473
AP13K_AP13N	0.417228
AP13K_AP13N	0.406077
AP13K_AP13N	0.210603
AP13K_AP13N	1.12054
AP13K_AP13N	0.244213
AP13K_AP13N	0.384932
AP13K_AP13N	0.133047
AP13K_AP13N	0.0434959
AP13K_AP13N	0.0853392
AP13K_AP13N	0.474576
AP13K_AP13N	0.296546
AP13K_AP13N	0.102668
AP13K_AP13N	0.269185
AP13K_AP13N	0.62037
AP13K_AP13N	0.168615
AP13K_AP13N	0.33029
AP13K_AP13N	0.228682
AP13K_AP13N	0.428571
AP13K_AP13N	0.473134
AP13K_AP13N	0.186441
AP13K_AP13N	0.60568
AP13K_AP13N	0.486207
AP13K_AP13N	0.190678
AP13K_AP13N	0.132785
AP13K_AP13N	0.288159
AP13K_AP13N	0.187828
AP13K_AP13N	0.329939
AP13K_AP13N	0.317604
AP13K_AP13N	0.0746388
AP13K_AP13N	0.324693
AP13K_AP13N	0.52323
AP13K_AP13N	0.211398
AP13K_AP13N	0.307496
AP13K_AP13N	0.222092
AP13K_AP13N	0.107577
AP13K_AP13N	0.207977
AP13K_AP13N	0.176895
AP13K_AP13N	0.198837
AP13K_AP13N	0.0781395
AP13K_AP13N	0.381598
AP13K_AP13N	0.183333
AP13K_AP13N	0.0817439
AP13K_AP13N	0.329916
AP13K_AP13N	0.304229
AP13K_AP13N	0.478632
AP13K_AP13N	0.322222
AP13K_AP13N	0.151163
AP13K_AP13N	0.381341
AP13K_AP13N	0.295547
