Species	Ks
LMA_LMB	0.19
LMA_LMB	0.150552
LMA_LMB	0.348157
LMA_LMB	0.0747065
LMA_LMB	0.0877042
LMA_LMB	0.317647
LMA_LMB	0.0465632
LMA_LMB	0.103665
LMA_LMB	0.169643
LMA_LMB	0.0673333
LMA_LMB	0.0880914
LMA_LMB	0.147059
LMA_LMB	0.645868
LMA_LMB	0.0941296
LMA_LMB	0.359906
LMA_LMB	0.769663
LMA_LMB	0.316568
LMA_LMB	0.101266
LMA_LMB	0.345361
LMA_LMB	0.403813
LMA_LMB	0.0602911
LMA_LMB	0.227991
LMA_LMB	0.0992167
LMA_LMB	0.495112
LMA_LMB	0.145763
LMA_LMB	0.200299
LMA_LMB	0.0690073
LMA_LMB	0.282374
LMA_LMB	0.420155
LMA_LMB	0
LMA_LMB	0.2949
LMA_LMB	0.38543
LMA_LMB	0.125561
LMA_LMB	0.17024
LMA_LMB	0.116972
LMA_LMB	0.383104
LMA_LMB	0.305703
LMA_LMB	0.286017
LMA_LMB	0.349711
LMA_LMB	0.161728
LMA_LMB	0.444227
LMA_LMB	0.701518
LMA_LMB	0.126154
LMA_LMB	0.0701001
LMA_LMB	0.198683
LMA_LMB	0.0924855
LMA_LMB	0.0398202
LMA_LMB	0.463432
LMA_LMB	0.0708592
LMA_LMB	0.221338
LMA_LMB	0.0776042
LMA_LMB	0.379475
LMA_LMB	0.0159332
LMA_LMB	0.14166
LMA_LMB	0.137124
LMA_LMB	0.00134771
LMA_LMB	0.161786
LMA_LMB	0.303647
LMA_LMB	0.228232
LMA_LMB	0.0629655
LMA_LMB	0.15261
LMA_LMB	0.203072
LMA_LMB	0.250482
LMA_LMB	0.374346
LMA_LMB	0.05
LMA_LMB	0.161898
LMA_LMB	0.378623
LMA_LMB	0.262032
LMA_LMB	0.235033
LMA_LMB	0.307317
LMA_LMB	0.106961
LMA_LMB	0.118095
LMA_LMB	0.0200222
LMA_LMB	0.126198
LMA_LMB	0.037415
LMA_LMB	0.11329
LMA_LMB	0.00890736
LMA_LMB	0.57177
LMA_LMB	0.127301
LMA_LMB	0.493003
LMA_LMB	0.136364
LMA_LMB	0.243553
LMA_LMB	0.277808
LMA_LMB	0.48355
LMA_LMB	0.855204
LMA_LMB	0.129938
LMA_LMB	0.138991
LMA_LMB	0.124697
LMA_LMB	0.225225
LMA_LMB	0.317726
LMA_LMB	0.640884
LMA_LMB	0.237113
LMA_LMB	0.297143
LMA_LMB	0.246575
LMA_LMB	0.0123297
LMA_LMB	0.238384
LMA_LMB	0.255484
LMA_LMB	1.04223
LMA_LMB	0.0638783
LMA_LMB	0.142245
LMA_LMB	0.482759
LMA_LMB	0.0444178
LMA_LMB	0.0682023
LMA_LMB	0.783418
LMA_LMB	0.135074
LMA_LMB	0.142857
LMA_LMB	0.179567
LMA_LMB	0.0514313
LMA_LMB	0.264014
LMA_LMB	0.235772
LMA_LMB	0.189316
LMA_LMB	0.170439
LMA_LMB	0.0641293
LMA_LMB	0.0725157
LMA_LMB	0.227144
LMA_LMB	0.0668115
LMA_LMB	0.350291
LMA_LMB	0.0486239
LMA_LMB	0.162471
LMA_LMB	0.690397
LMA_LMB	0.272167
LMA_LMB	0.766727
LMA_LMB	0.558962
LMA_LMB	0.851735
LMA_LMB	0.256612
LMA_LMB	0.070008
LMA_LMB	0.039801
LMA_LMB	0.13155
LMA_LMB	0.128276
LMA_LMB	0.26694
LMA_LMB	0.434169
LMA_LMB	0.0590596
LMA_LMB	0.0545012
LMA_LMB	0.00105708
LMA_LMB	0.282077
LMA_LMB	0.261072
LMA_LMB	0.0226087
LMA_LMB	0.0347958
LMA_LMB	0.139512
LMA_LMB	0.123416
LMA_LMB	0.0707786
LMA_LMB	0.15326
LMA_LMB	0.306075
LMA_LMB	0.404372
LMA_LMB	0.284112
LMA_LMB	0.0958655
LMA_LMB	0.429254
LMA_LMB	0.297907
LMA_LMB	0.12085
LMA_LMB	0.238636
LMA_LMB	0.0840647
LMA_LMB	0.325444
LMA_LMB	0.205298
LMA_LMB	0.154167
LMA_LMB	0.000832639
LMA_LMB	0.186456
LMA_LMB	0.118644
LMA_LMB	0.0383618
LMA_LMB	0.517241
LMA_LMB	0.0222623
LMA_LMB	0.370027
LMA_LMB	0.249738
LMA_LMB	0.19322
LMA_LMB	0.181269
LMA_LMB	0.0757979
LMA_LMB	0.180212
LMA_LMB	0.506372
LMA_LMB	0.160345
LMA_LMB	0.022415
LMA_LMB	0.046875
LMA_LMB	0.245557
LMA_LMB	0.238156
LMA_LMB	0.0892608
LMA_LMB	0.0625352
LMA_LMB	0.386913
LMA_LMB	0.465209
LMA_LMB	0.0692153
LMA_LMB	0.214039
LMA_LMB	0.126241
LMA_LMB	0.148803
LMA_LMB	0.0346771
LMA_LMB	0.136842
LMA_LMB	0.154489
LMA_LMB	0.16095
LMA_LMB	0.0421546
LMA_LMB	0.113035
LMA_LMB	0.206655
LMA_LMB	0.74221
LMA_LMB	0.240708
LMA_LMB	0.234607
LMA_LMB	0.0793459
LMA_LMB	0.160256
LMA_LMB	0.319088
LMA_LMB	0.0834586
LMA_LMB	0.16358
LMA_LMB	0.0260586
LMA_LMB	0.199753
LMA_LMB	0.191989
LMA_LMB	0.00193424
LMA_LMB	0.0792952
LMA_LMB	0.177239
LMA_LMB	0.0722543
LMA_LMB	0.125
LMA_LMB	0.532468
LMA_LMB	0.0671243
LMA_LMB	0.213343
LMA_LMB	0.270341
LMA_LMB	0.362366
LMA_LMB	0.1792
LMA_LMB	0.0462585
LMA_LMB	0.606227
LMA_LMB	0.388087
LMA_LMB	0.0927618
LMA_LMB	0.194145
LMA_LMB	0.419619
LMA_LMB	0.442211
LMA_LMB	0.215139
LMA_LMB	0.145455
LMA_LMB	0.47235
LMA_LMB	0.114078
LMA_LMB	0.225263
LMA_LMB	0.0762898
LMA_LMB	0.0977069
LMA_LMB	0.0261194
LMA_LMB	0.270557
LMA_LMB	0.0344009
LMA_LMB	0.147193
LMA_LMB	0.12141
LMA_LMB	0.182566
LMA_LMB	0.350877
LMA_LMB	0.5875
LMA_LMB	0.110989
LMA_LMB	0.278777
LMA_LMB	0.321251
LMA_LMB	0.0463862
LMA_LMB	0.000784314
LMA_LMB	0.0707965
LMA_LMB	0.110626
LMA_LMB	0.101351
LMA_LMB	0.284091
LMA_LMB	0.407025
LMA_LMB	0.12603
LMA_LMB	0.263393
LMA_LMB	0.0590615
LMA_LMB	0.20073
LMA_LMB	0.307
LMA_LMB	0.067007
LMA_LMB	0.209571
LMA_LMB	0.187888
LMA_LMB	0.12201
LMA_LMB	0.715385
LMA_LMB	0.190012
LMA_LMB	0.301038
LMA_LMB	0.157321
LMA_LMB	0.0730301
LMA_LMB	0.397092
LMA_LMB	0.132325
LMA_LMB	0.211029
LMA_LMB	0.471061
LMA_LMB	0.157815
LMA_LMB	0.591182
LMA_LMB	0.113636
LMA_LMB	0.183673
LMA_LMB	0.00861326
LMA_LMB	0.0293454
LMA_LMB	0.117949
LMA_LMB	0.505998
LMA_LMB	0.381609
LMA_LMB	0.444681
LMA_LMB	0.130394
LMA_LMB	0.0772947
LMA_LMB	0.167832
LMA_LMB	0.139723
LMA_LMB	0.181457
LMA_LMB	0.213592
LMA_LMB	0.115385
LMA_LMB	0.403023
LMA_LMB	0.127959
LMA_LMB	0.0163339
LMA_LMB	0.209009
LMA_LMB	0.11755
LMA_LMB	0.0294618
LMA_LMB	0.09299
LMA_LMB	0.0370023
LMA_LMB	0.136508
LMA_LMB	0.129346
LMA_LMB	0.208122
LMA_LMB	0.343907
LMA_LMB	0.0853407
LMA_LMB	0.205984
LMA_LMB	0.237288
LMA_LMB	0.118343
LMA_LMB	0.0018622
LMA_LMB	0.372635
LMA_LMB	0.2575
LMA_LMB	0.221918
LMA_LMB	0.0741351
LMA_LMB	0.697436
LMA_LMB	0.262153
LMA_LMB	0.197455
LMA_LMB	0.00153139
LMA_LMB	0.230519
LMA_LMB	0.157434
LMA_LMB	0.044586
LMA_LMB	0.361111
LMA_LMB	0.155102
LMA_LMB	0.838908
LMA_LMB	0.264209
LMA_LMB	0.0862944
LMA_LMB	0.187785
LMA_LMB	0.0175439
LMA_LMB	0.313386
LMA_LMB	0.205607
LMA_LMB	0.0980216
LMA_LMB	0.292428
LMA_LMB	0.190713
LMA_LMB	0.416933
LMA_LMB	0.368704
LMA_LMB	0.172702
LMA_LMB	0.370876
LMA_LMB	0.214373
LMA_LMB	0.0752688
LMA_LMB	0.207709
LMA_LMB	0.191549
LMA_LMB	0.184701
LMA_LMB	0.0562613
LMA_LMB	0.11755
LMA_LMB	0.0949772
LMA_LMB	0.0559867
LMA_LMB	0.221215
LMA_LMB	0.662963
LMA_LMB	0.234153
